Date;Volume, items;Open;High;Low;Close;Bid;Ask;Volume,;
;;;;;;;;RUB;
22.04.2024;91823;743,6;748,6;730,8;741,2;740,6;741,2;67992334,4;
23.04.2024;83447;742,9;753,3;734;736;737,1;739,3;62164349,6;
24.04.2024;50374;740;742,2;724,2;734,3;732,8;734,2;36809921,9;
25.04.2024;55152;733,7;736,6;721;723;722,2;723,3;40067533,5;
26.04.2024;87361;723;747,3;721,8;741;741,3;741,4;64484545,7;
27.04.2024;123872;741,5;761,5;736,1;758,4;758,4;758,9;93015776,3;
29.04.2024;58655;757;758,2;740;752;752;753,6;43950384,2;
30.04.2024;35959;754,4;762,9;752,2;756,6;756,1;756,6;27245118,7;
02.05.2024;127801;757;778;755;771;770,1;771,1;98423320,2;
03.05.2024;123929;772,1;787,2;768;778;777;778;96234214,9;
06.05.2024;146496;778;790,3;774,4;785,9;785;785,8;114849108;
07.05.2024;103224;787,5;793,7;774,6;777,5;775,6;779,6;81089948,7;
08.05.2024;38720;777,5;787,5;777,5;784,3;784;784,6;30279657,4;
10.05.2024;92423;778;799;768,1;789,7;789,7;790;72787193,9;
13.05.2024;81545;793,1;797;790,9;793;794,4;796,5;64762599,1;
14.05.2024;45092;792,5;795,5;786;787,7;787,7;787,9;35614460,1;
15.05.2024;162339;790,1;790,1;752,6;759;759;759,8;124597183,7;
16.05.2024;131402;767,7;767,7;737,8;749,5;752;752,3;98828964,6;
17.05.2024;83923;754,8;765;747;747,9;747,1;747,9;63254681,8;
20.05.2024;87258;749,5;759,2;745,3;748;748;749,4;65551360,7;
21.05.2024;173606;750,3;752,7;722;737;737;737,9;126894069,9;
22.05.2024;135332;735;739,6;723;724,5;724,5;724,7;98682391,7;
23.05.2024;199292;729,8;754;723;740,4;740,3;740,4;146382715,3;
24.05.2024;166836;743,3;762,7;732,1;733,1;732,4;733,1;124822088,1;
27.05.2024;193264;742;748,6;699;700;699;699,8;139270995,6;
28.05.2024;109944;700,1;732,4;699;714;715,8;716;78997094,3;
29.05.2024;60047;714,1;723;708,4;715,8;715,3;715,8;43070948,1;
30.05.2024;61609;720;722,7;703,5;704,6;704,6;704,7;44035055,7;
31.05.2024;221175;704,6;706,9;657,3;679,5;679,4;680,2;150607784,6;
03.06.2024;169618;658,8;679,4;640,1;679;676,8;678,9;111589418,6;
04.06.2024;288503;678,9;749,3;665,4;714;714;714,8;208367424,7;
05.06.2024;109630;716,5;739;705,5;715,9;716;717,6;79082517,9;
06.06.2024;57519;716;726,8;700,1;705,2;707,1;708,8;41142429,5;
07.06.2024;76720;705,1;737;700,1;721;720,8;722;55488155,7;
10.06.2024;139885;729;749;702;704;703,5;704;102235432;
