"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.04.2025","188,62","193,54","194,14","186,35","1,50M","-2,53%"
"22.04.2025","193,52","192,35","195,95","191,30","2,20M","0,74%"
"21.04.2025","192,09","192,30","193,85","191,10","1,32M","0,57%"
"18.04.2025","191,00","196,49","196,50","190,01","2,14M","-2,79%"
"17.04.2025","196,49","193,30","198,00","193,02","2,87M","1,81%"
"16.04.2025","193,00","189,60","194,97","189,04","3,35M","1,81%"
"15.04.2025","189,57","187,50","192,80","186,60","2,17M","1,23%"
"14.04.2025","187,27","185,01","194,49","184,26","5,50M","2,53%"
"11.04.2025","182,65","179,15","184,00","178,88","2,76M","2,24%"
"10.04.2025","178,65","182,71","187,50","172,20","4,02M","-2,22%"
"09.04.2025","182,71","171,70","182,71","157,00","8,42M","6,99%"
"08.04.2025","170,78","178,05","184,46","170,70","3,86M","-4,06%"
"07.04.2025","178,01","190,12","197,40","170,07","13,91M","-5,71%"
"04.04.2025","188,78","206,00","206,01","186,71","4,52M","-7,68%"
"03.04.2025","204,49","207,80","209,87","195,17","3,41M","-0,95%"
"02.04.2025","206,46","202,40","207,20","201,16","3,96M","2,04%"
"01.04.2025","202,34","211,00","217,21","200,09","9,03M","-3,69%"
"31.03.2025","210,10","194,97","212,61","187,20","11,62M","8,72%"
"28.03.2025","193,25","204,68","206,49","191,30","9,27M","-5,58%"
"27.03.2025","204,68","217,00","217,09","203,31","4,06M","-5,51%"
"26.03.2025","216,61","224,06","226,29","215,30","2,93M","-3,26%"
"25.03.2025","223,90","225,55","226,61","211,50","6,91M","-0,38%"
"24.03.2025","224,75","226,00","230,88","222,39","3,15M","-1,37%"
"21.03.2025","227,88","232,80","233,94","226,31","3,19M","-2,12%"
"20.03.2025","232,81","236,89","237,70","231,62","2,16M","-1,16%"
"19.03.2025","235,54","228,74","237,70","226,10","8,68M","3,69%"
"18.03.2025","227,15","230,75","232,29","226,01","4,55M","-1,53%"
"17.03.2025","230,68","233,22","235,00","228,82","3,72M","1,94%"
"14.03.2025","226,30","225,20","229,39","224,46","3,44M","0,45%"
"13.03.2025","225,28","220,72","228,00","218,51","6,02M","1,46%"
"12.03.2025","222,03","228,30","228,30","217,71","6,56M","-3,20%"
"11.03.2025","229,38","234,30","236,60","226,00","6,36M","-2,99%"
"10.03.2025","236,46","239,55","241,31","234,14","3,61M","0,57%"
"07.03.2025","235,13","240,50","242,86","222,00","9,95M","-0,90%"
"06.03.2025","237,26","232,90","238,92","231,81","10,92M","3,88%"
"05.03.2025","228,40","223,10","233,50","221,75","13,35M","2,70%"
"04.03.2025","222,40","224,36","226,19","220,51","4,13M","0,85%"
"03.03.2025","220,52","215,58","224,93","212,15","11,82M","2,29%"
"28.02.2025","215,58","204,00","219,75","202,51","14,54M","6,46%"
"27.02.2025","202,50","219,49","219,88","200,40","6,37M","-7,02%"
"26.02.2025","217,79","224,80","231,71","216,01","7,84M","-2,90%"
"25.02.2025","224,30","220,20","226,40","212,14","7,25M","3,09%"
"24.02.2025","217,58","198,00","222,41","198,00","21,75M","11,29%"
"21.02.2025","195,50","195,39","197,00","194,11","1,81M","0,37%"
"20.02.2025","194,78","195,33","196,50","193,50","1,42M","-0,30%"
"19.02.2025","195,37","193,99","196,55","192,00","1,82M","1,23%"
"18.02.2025","192,99","196,01","197,98","191,57","2,26M","-3,29%"
"17.02.2025","199,56","191,85","200,00","189,34","6,40M","6,62%"
"14.02.2025","187,17","192,50","200,36","171,44","6,50M","-2,06%"
"13.02.2025","191,10","196,70","197,00","189,80","1,20M","-1,81%"
"12.02.2025","194,63","189,01","196,00","185,40","3,50M","3,50%"
"11.02.2025","188,04","187,00","189,12","185,03","747,32K","1,29%"
"10.02.2025","185,65","189,07","190,98","185,00","1,13M","-1,24%"
"07.02.2025","187,99","190,00","190,70","186,00","666,06K","-0,72%"
"06.02.2025","189,36","190,11","191,80","187,19","694,76K","-0,02%"
"05.02.2025","189,40","184,92","191,00","181,51","1,28M","1,92%"
"04.02.2025","185,83","190,00","190,71","183,56","879,42K","-1,71%"
"03.02.2025","189,06","188,11","191,50","188,10","849,49K","0,41%"
"31.01.2025","188,28","193,15","193,85","188,01","1,32M","-1,88%"
"30.01.2025","191,89","193,40","196,60","190,00","1,97M","0,07%"
"29.01.2025","191,75","189,00","196,62","188,00","4,51M","1,73%"
"28.01.2025","188,49","184,00","189,40","182,47","2,91M","3,57%"
"27.01.2025","182,00","185,02","186,00","180,51","961,75K","-1,05%"
"24.01.2025","183,94","181,00","187,51","180,61","1,94M","1,69%"
"23.01.2025","180,88","179,24","181,90","178,02","725,89K","0,92%"
"22.01.2025","179,23","182,62","183,58","178,51","978,15K","-1,88%"
"21.01.2025","182,67","181,58","183,70","177,27","1,67M","0,35%"
"20.01.2025","182,04","186,36","193,00","179,14","2,51M","-0,70%"
"17.01.2025","183,32","180,48","185,80","179,04","5,45M","2,59%"
"16.01.2025","178,70","177,00","182,10","175,69","3,30M","1,44%"
"15.01.2025","176,16","173,73","176,83","172,51","985,40K","1,21%"
"14.01.2025","174,06","175,15","177,00","172,42","1,04M","0,18%"
"13.01.2025","173,75","178,25","179,47","172,01","1,92M","-1,40%"
"10.01.2025","176,21","172,60","178,99","171,31","2,67M","2,45%"
"09.01.2025","172,00","174,01","176,00","167,00","1,97M","-0,81%"
"08.01.2025","173,41","171,65","176,90","167,31","1,42M","1,03%"
"06.01.2025","171,65","174,71","175,13","167,86","1,17M","-2,17%"
"03.01.2025","175,46","176,00","178,00","173,73","951,44K","0,99%"
"30.12.2024","173,74","178,35","178,37","172,72","1,65M","-0,55%"
"28.12.2024","174,70","177,61","185,80","171,52","7,83M","-1,54%"
"27.12.2024","177,43","160,57","181,82","160,46","6,75M","11,03%"
"26.12.2024","159,81","160,82","162,99","157,00","1,80M","-0,65%"
"25.12.2024","160,86","152,37","164,24","148,56","1,44M","4,90%"
"24.12.2024","153,35","155,70","156,47","150,53","712,38K","-1,51%"
"23.12.2024","155,70","157,00","165,89","153,45","1,92M","2,34%"
"20.12.2024","152,14","132,00","155,00","131,14","4,00M","15,02%"
"19.12.2024","132,27","131,80","133,50","129,12","524,29K","0,85%"
"18.12.2024","131,15","129,47","132,00","128,01","456,32K","1,70%"
"17.12.2024","128,96","128,79","131,83","127,86","571,06K","0,13%"
"16.12.2024","128,79","133,20","133,70","127,28","827,29K","-3,35%"
"13.12.2024","133,25","136,42","137,28","132,72","653,93K","-2,23%"
"12.12.2024","136,29","142,40","143,09","135,99","754,80K","-4,42%"
"11.12.2024","142,60","142,83","143,65","141,20","230,98K","0,01%"
"10.12.2024","142,59","147,30","148,30","142,31","356,59K","-3,39%"
"09.12.2024","147,59","147,95","149,40","145,37","392,64K","1,35%"
"06.12.2024","145,62","145,00","148,98","143,05","882,05K","-0,75%"
"05.12.2024","146,72","143,54","148,63","140,42","898,54K","2,22%"
"04.12.2024","143,54","147,60","152,00","140,00","918,95K","-2,68%"
"03.12.2024","147,50","148,56","150,00","144,61","866,78K","-0,53%"
"02.12.2024","148,29","141,20","150,77","141,00","1,11M","5,66%"
"29.11.2024","140,34","140,30","145,00","139,47","926,57K","0,03%"
"28.11.2024","140,30","143,00","143,00","136,18","1,48M","0,20%"
"27.11.2024","140,02","142,00","148,80","127,94","5,22M","-1,23%"
"26.11.2024","141,77","151,00","152,21","135,54","2,52M","-5,17%"
"25.11.2024","149,50","153,99","154,71","146,55","1,61M","-4,26%"
"22.11.2024","156,16","159,99","160,32","156,05","384,73K","-1,97%"
"21.11.2024","159,30","160,02","160,98","156,21","763,58K","0,22%"
"20.11.2024","158,95","160,00","161,20","157,11","601,02K","-0,34%"
