"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.02.2025","575,00","549,80","580,00","533,00","111,98K","4,39%"
"04.02.2025","550,80","535,80","557,20","535,60","28,46K","2,76%"
"03.02.2025","536,00","532,20","565,60","513,00","92,37K","-0,92%"
"31.01.2025","541,00","553,80","556,80","539,00","25,77K","-2,45%"
"30.01.2025","554,60","555,40","560,00","549,80","24,77K","-0,72%"
"29.01.2025","558,60","551,80","568,60","548,60","46,92K","1,01%"
"28.01.2025","553,00","546,00","582,40","518,00","428,76K","0,62%"
"27.01.2025","549,60","585,00","588,20","533,20","201,68K","-6,31%"
"24.01.2025","586,60","566,80","587,00","566,80","37,38K","3,64%"
"23.01.2025","566,00","563,60","572,80","553,40","28,86K","-0,60%"
"22.01.2025","569,40","570,80","574,20","563,20","14,06K","0,18%"
"21.01.2025","568,40","564,40","573,60","558,20","28,62K","-1,01%"
"20.01.2025","574,20","580,00","589,00","560,40","59,17K","0,60%"
"17.01.2025","570,80","556,80","580,00","552,20","76,26K","3,78%"
"16.01.2025","550,00","541,00","569,60","540,00","116,83K","2,12%"
"15.01.2025","538,60","546,00","546,80","534,40","10,55K","-0,33%"
"14.01.2025","540,40","535,00","545,00","530,00","29,71K","0,86%"
"13.01.2025","535,80","537,80","549,00","526,20","41,36K","0,94%"
"10.01.2025","530,80","521,20","549,00","521,20","65,53K","1,34%"
"09.01.2025","523,80","531,00","540,80","521,00","35,48K","-1,10%"
"08.01.2025","529,60","507,80","534,00","505,80","56,48K","4,25%"
"06.01.2025","508,00","509,60","510,20","500,00","12,62K","-0,51%"
"03.01.2025","510,60","526,60","530,60","501,00","34,30K","-3,19%"
"30.12.2024","527,40","521,00","527,40","511,60","43,87K","3,17%"
"28.12.2024","511,20","507,60","517,40","505,00","37,15K","0,71%"
"27.12.2024","507,60","507,00","512,60","500,00","37,26K","-0,47%"
"26.12.2024","510,00","509,00","529,00","502,60","65,85K","0,39%"
"25.12.2024","508,00","499,00","513,80","490,00","43,97K","1,72%"
"24.12.2024","499,40","505,80","512,20","488,00","38,04K","-0,16%"
"23.12.2024","500,20","520,00","531,00","494,60","107,50K","-1,30%"
"20.12.2024","506,80","459,00","515,40","459,00","126,13K","10,41%"
"19.12.2024","459,00","458,20","471,60","452,40","66,95K","0,57%"
"18.12.2024","456,40","451,00","460,00","447,60","13,63K","1,20%"
