"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.04.2025","10,80","10,86","10,86","10,78","47,10K","0,56%"
"24.04.2025","10,74","10,94","10,96","10,72","82,50K","-1,83%"
"23.04.2025","10,94","11,18","11,20","10,90","104,40K","-0,73%"
"22.04.2025","11,02","10,72","11,34","10,72","535,20K","2,80%"
"21.04.2025","10,72","10,54","11,16","10,34","707,90K","3,68%"
"18.04.2025","10,34","10,32","10,44","10,28","42,10K","-0,19%"
"17.04.2025","10,36","10,32","10,50","10,32","62,40K","-0,77%"
"16.04.2025","10,44","10,26","10,50","10,24","98,20K","1,36%"
"15.04.2025","10,30","10,42","10,42","10,24","16,20K","0,39%"
"14.04.2025","10,26","10,32","10,42","10,26","79,90K","0,00%"
"11.04.2025","10,26","10,46","10,56","10,26","104,40K","0,00%"
"10.04.2025","10,26","10,34","10,88","10,18","167,00K","1,79%"
"09.04.2025","10,08","10,96","10,96","9,98","189,00K","-1,95%"
"08.04.2025","10,28","10,10","10,86","10,08","229,40K","3,01%"
"07.04.2025","9,98","10,00","10,16","9,90","233,80K","-2,16%"
"04.04.2025","10,20","10,70","10,70","10,08","220,00K","-3,41%"
"03.04.2025","10,56","10,74","10,86","10,54","77,80K","-1,49%"
"02.04.2025","10,72","10,80","10,90","10,72","76,90K","-1,47%"
"01.04.2025","10,88","10,78","10,98","10,70","181,30K","2,26%"
"31.03.2025","10,64","10,80","10,80","10,54","192,90K","-1,66%"
"28.03.2025","10,82","11,20","11,20","10,76","310,20K","-3,74%"
"27.03.2025","11,24","11,40","11,46","11,24","111,40K","-1,75%"
"26.03.2025","11,44","11,58","11,64","11,42","73,20K","-0,87%"
"25.03.2025","11,54","11,50","11,62","11,46","118,10K","0,70%"
"24.03.2025","11,46","11,50","11,56","11,38","103,90K","-0,35%"
"21.03.2025","11,50","11,74","11,74","11,46","71,40K","-0,86%"
"20.03.2025","11,60","11,98","11,98","11,38","292,20K","-1,53%"
"19.03.2025","11,78","11,78","12,08","11,56","355,80K","0,00%"
"18.03.2025","11,78","11,80","11,98","11,72","180,30K","0,17%"
"17.03.2025","11,76","11,78","11,98","11,74","104,70K","0,86%"
"14.03.2025","11,66","11,58","11,84","11,52","89,60K","1,92%"
"13.03.2025","11,44","11,40","11,66","11,40","138,10K","-0,35%"
"12.03.2025","11,48","11,64","11,66","11,34","156,40K","-1,71%"
"11.03.2025","11,68","11,92","11,94","11,66","169,80K","-0,85%"
"10.03.2025","11,78","11,74","12,04","11,68","319,40K","2,43%"
"07.03.2025","11,50","11,80","11,92","11,50","226,20K","-1,37%"
"06.03.2025","11,66","12,20","12,20","11,54","479,60K","-3,32%"
"05.03.2025","12,06","12,06","12,08","11,94","162,80K","0,50%"
"04.03.2025","12,00","11,90","12,44","11,90","427,90K","1,35%"
"03.03.2025","11,84","11,96","12,04","11,64","157,90K","-0,17%"
"28.02.2025","11,86","11,96","12,04","11,68","337,20K","0,17%"
"27.02.2025","11,84","11,90","12,04","11,62","378,70K","-1,50%"
"26.02.2025","12,02","12,18","12,50","11,92","1,23M","0,17%"
"25.02.2025","12,00","11,98","12,22","11,94","512,90K","0,50%"
"24.02.2025","11,94","11,92","12,08","11,88","460,70K","0,34%"
"21.02.2025","11,90","11,94","12,26","11,80","609,30K","-0,17%"
"20.02.2025","11,92","11,68","12,92","11,66","2,83M","2,58%"
"19.02.2025","11,62","11,60","11,66","11,52","129,80K","0,52%"
"18.02.2025","11,56","11,82","11,92","11,50","546,70K","-3,18%"
"17.02.2025","11,94","11,96","11,96","11,70","342,30K","2,05%"
"14.02.2025","11,70","11,62","12,18","11,52","651,80K","1,21%"
"13.02.2025","11,56","11,78","12,48","11,42","2,15M","1,94%"
"12.02.2025","11,34","11,50","11,56","11,24","371,20K","-0,53%"
"11.02.2025","11,40","11,40","11,42","11,30","153,70K","-0,18%"
"10.02.2025","11,42","11,48","11,62","11,38","230,50K","0,71%"
"07.02.2025","11,34","11,50","11,60","11,28","148,00K","-1,39%"
"06.02.2025","11,50","11,48","11,72","11,22","388,30K","1,59%"
"05.02.2025","11,32","11,08","12,10","11,04","2,06M","2,17%"
"04.02.2025","11,08","11,26","11,36","11,00","225,70K","-0,72%"
"03.02.2025","11,16","11,36","11,42","11,10","236,60K","-1,41%"
"31.01.2025","11,32","11,34","11,92","11,20","1,09M","0,00%"
"30.01.2025","11,32","11,38","11,38","11,28","133,70K","0,35%"
"29.01.2025","11,28","11,34","11,66","11,20","507,40K","-0,53%"
"28.01.2025","11,34","11,14","11,46","11,14","233,50K","1,61%"
"27.01.2025","11,16","11,24","11,32","11,12","130,50K","-0,53%"
"24.01.2025","11,22","11,24","11,38","11,10","357,10K","1,08%"
"23.01.2025","11,10","11,48","11,48","11,04","403,70K","-2,80%"
"22.01.2025","11,42","11,48","11,50","11,10","364,40K","0,00%"
"21.01.2025","11,42","11,74","11,74","11,12","535,00K","-1,04%"
"20.01.2025","11,54","11,46","12,12","11,20","3,03M","2,12%"
"17.01.2025","11,30","11,06","11,76","10,82","2,28M","1,25%"
"16.01.2025","11,16","10,72","11,24","10,58","1,59M","5,48%"
"15.01.2025","10,58","10,54","10,64","10,44","252,10K","1,34%"
"14.01.2025","10,44","10,70","10,72","10,44","486,20K","-1,69%"
"13.01.2025","10,62","11,20","11,20","10,62","432,70K","2,12%"
"10.01.2025","10,40","10,62","10,80","10,40","672,50K","-0,76%"
"09.01.2025","10,48","11,28","11,28","10,48","353,20K","-5,07%"
"08.01.2025","11,04","10,90","11,32","10,86","371,20K","0,36%"
"06.01.2025","11,00","10,50","11,06","10,50","440,30K","4,36%"
"03.01.2025","10,54","10,72","10,94","10,50","239,20K","-0,57%"
"30.12.2024","10,60","10,54","10,70","10,38","224,30K","1,73%"
"28.12.2024","10,42","10,26","10,60","10,18","397,90K","2,76%"
"27.12.2024","10,14","10,28","10,38","10,10","298,90K","-1,93%"
"26.12.2024","10,34","10,46","10,50","10,30","181,50K","-0,77%"
"25.12.2024","10,42","10,52","10,64","10,34","210,40K","-0,95%"
"24.12.2024","10,52","10,62","10,62","10,34","147,00K","0,38%"
"23.12.2024","10,48","10,92","10,96","10,32","273,20K","-0,38%"
"20.12.2024","10,52","10,10","10,78","9,96","488,90K","4,16%"
"19.12.2024","10,10","10,20","10,58","10,10","164,90K","-0,39%"
"18.12.2024","10,14","9,84","10,72","9,84","851,50K","2,63%"
"17.12.2024","9,88","9,88","9,96","9,82","50,50K","0,00%"
"16.12.2024","9,88","10,00","10,06","9,86","57,20K","-0,40%"
"13.12.2024","9,92","9,96","10,06","9,88","117,40K","-0,40%"
"12.12.2024","9,96","10,06","10,08","9,96","81,20K","-0,60%"
"11.12.2024","10,02","10,18","10,18","9,98","73,60K","-1,18%"
"10.12.2024","10,14","10,30","10,38","10,14","43,90K","-1,93%"
"09.12.2024","10,34","10,20","10,68","10,10","142,20K","1,97%"
"06.12.2024","10,14","10,20","10,22","10,04","123,70K","-0,78%"
"05.12.2024","10,22","10,16","10,24","10,08","29,90K","0,39%"
"04.12.2024","10,18","10,08","10,38","10,00","113,20K","0,79%"
"03.12.2024","10,10","10,54","10,54","9,98","182,80K","-3,26%"
"02.12.2024","10,44","10,46","10,74","10,40","133,80K","-2,06%"
"29.11.2024","10,66","10,36","11,18","10,30","493,80K","3,29%"
"28.11.2024","10,32","10,30","10,48","10,20","220,30K","1,18%"
"27.11.2024","10,20","9,96","10,36","9,90","227,20K","2,41%"
"26.11.2024","9,96","10,06","10,16","9,96","223,70K","-0,99%"
"25.11.2024","10,06","10,38","10,70","10,00","429,30K","-3,08%"
"22.11.2024","10,38","10,44","10,54","10,24","121,90K","1,17%"
"21.11.2024","10,26","10,24","10,42","10,14","105,60K","0,20%"
"20.11.2024","10,24","10,42","10,60","10,08","240,60K","-1,73%"
"19.11.2024","10,42","10,84","10,94","10,24","267,10K","-3,34%"
"18.11.2024","10,78","10,92","10,92","10,64","246,90K","-3,75%"
"15.11.2024","11,20","11,08","11,22","11,04","56,10K","0,36%"
"14.11.2024","11,16","11,14","11,22","11,00","88,90K","-0,53%"
"13.11.2024","11,22","11,32","11,62","11,12","298,10K","-2,43%"
