"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.04.2025","1.185,0","1.175,0","1.185,0","1.160,0","0,34K","1,28%"
"24.04.2025","1.170,0","1.180,0","1.200,0","1.170,0","0,11K","0,00%"
"23.04.2025","1.170,0","1.185,0","1.195,0","1.170,0","0,09K","-1,27%"
"22.04.2025","1.185,0","1.165,0","1.200,0","1.165,0","0,09K","1,72%"
"21.04.2025","1.165,0","1.150,0","1.175,0","1.135,0","0,29K","0,43%"
"18.04.2025","1.160,0","1.160,0","1.160,0","1.140,0","0,16K","0,00%"
"17.04.2025","1.160,0","1.155,0","1.180,0","1.155,0","0,06K","0,43%"
"16.04.2025","1.155,0","1.160,0","1.160,0","1.120,0","0,24K","-0,43%"
"15.04.2025","1.160,0","1.195,0","1.195,0","1.150,0","0,16K","-2,93%"
"14.04.2025","1.195,0","1.230,0","1.230,0","1.140,0","0,37K","-0,83%"
"11.04.2025","1.205,0","1.210,0","1.240,0","1.135,0","0,23K","8,07%"
"10.04.2025","1.115,0","1.175,0","1.220,0","1.115,0","0,52K","0,00%"
"09.04.2025","1.115,0","1.165,0","1.165,0","1.110,0","0,23K","-4,29%"
"08.04.2025","1.165,0","1.135,0","1.245,0","1.135,0","0,17K","2,64%"
"07.04.2025","1.135,0","1.180,0","1.180,0","1.080,0","0,57K","-4,22%"
"04.04.2025","1.185,0","1.255,0","1.360,0","1.170,0","0,54K","-4,82%"
"03.04.2025","1.245,0","1.260,0","1.260,0","1.245,0","0,05K","-1,19%"
"02.04.2025","1.260,0","1.235,0","1.260,0","1.215,0","0,05K","0,40%"
"01.04.2025","1.255,0","1.280,0","1.280,0","1.240,0","0,18K","1,21%"
"31.03.2025","1.240,0","1.260,0","1.280,0","1.200,0","0,27K","-1,59%"
"28.03.2025","1.260,0","1.285,0","1.285,0","1.230,0","0,36K","-1,95%"
"27.03.2025","1.285,0","1.330,0","1.330,0","1.270,0","0,73K","-3,75%"
"26.03.2025","1.335,0","1.380,0","1.380,0","1.325,0","0,95K","-3,26%"
"25.03.2025","1.380,0","1.345,0","1.380,0","1.310,0","0,58K","1,47%"
"24.03.2025","1.360,0","1.360,0","1.380,0","1.345,0","0,06K","0,00%"
"21.03.2025","1.360,0","1.395,0","1.395,0","1.345,0","0,29K","-2,51%"
"20.03.2025","1.395,0","1.405,0","1.480,0","1.340,0","2,40K","1,82%"
"19.03.2025","1.370,0","1.325,0","1.415,0","1.325,0","0,75K","0,00%"
"18.03.2025","1.370,0","1.365,0","1.415,0","1.355,0","0,42K","0,00%"
"17.03.2025","1.370,0","1.335,0","1.390,0","1.330,0","0,30K","3,01%"
"14.03.2025","1.330,0","1.310,0","1.350,0","1.275,0","0,75K","1,53%"
"13.03.2025","1.310,0","1.330,0","1.330,0","1.310,0","0,07K","-2,96%"
"12.03.2025","1.350,0","1.355,0","1.365,0","1.310,0","0,16K","0,75%"
"11.03.2025","1.340,0","1.330,0","1.350,0","1.325,0","0,17K","1,13%"
"10.03.2025","1.325,0","1.325,0","1.350,0","1.310,0","0,24K","0,38%"
"07.03.2025","1.320,0","1.350,0","1.380,0","1.315,0","0,31K","-2,58%"
"06.03.2025","1.355,0","1.340,0","1.380,0","1.320,0","0,38K","1,12%"
"05.03.2025","1.340,0","1.355,0","1.360,0","1.330,0","0,15K","-0,37%"
"04.03.2025","1.345,0","1.335,0","1.380,0","1.325,0","0,36K","1,51%"
"03.03.2025","1.325,0","1.280,0","1.340,0","1.280,0","0,27K","3,11%"
"28.02.2025","1.285,0","1.305,0","1.305,0","1.265,0","0,33K","-1,91%"
"27.02.2025","1.310,0","1.355,0","1.360,0","1.275,0","0,88K","-3,68%"
"26.02.2025","1.360,0","1.345,0","1.445,0","1.345,0","1,47K","0,37%"
"25.02.2025","1.355,0","1.355,0","1.360,0","1.345,0","0,27K","0,74%"
"24.02.2025","1.345,0","1.355,0","1.360,0","1.340,0","0,60K","-1,47%"
"21.02.2025","1.365,0","1.330,0","1.390,0","1.330,0","1,32K","3,02%"
"20.02.2025","1.325,0","1.310,0","1.370,0","1.305,0","0,45K","1,53%"
"19.02.2025","1.305,0","1.325,0","1.345,0","1.290,0","0,80K","-1,51%"
"18.02.2025","1.325,0","1.355,0","1.365,0","1.310,0","0,49K","-2,21%"
"17.02.2025","1.355,0","1.340,0","1.375,0","1.325,0","0,96K","2,26%"
"14.02.2025","1.325,0","1.330,0","1.370,0","1.280,0","1,27K","-0,38%"
"13.02.2025","1.330,0","1.480,0","1.525,0","1.290,0","6,74K","-8,90%"
"12.02.2025","1.460,0","1.290,0","1.565,0","1.285,0","8,47K","13,18%"
"11.02.2025","1.290,0","1.285,0","1.300,0","1.275,0","0,05K","-0,39%"
"10.02.2025","1.295,0","1.305,0","1.305,0","1.285,0","0,03K","0,78%"
"07.02.2025","1.285,0","1.295,0","1.300,0","1.280,0","0,02K","0,39%"
"06.02.2025","1.280,0","1.260,0","1.300,0","1.260,0","0,08K","1,19%"
"05.02.2025","1.265,0","1.280,0","1.280,0","1.250,0","0,11K","-0,78%"
"04.02.2025","1.275,0","1.290,0","1.305,0","1.275,0","0,03K","-0,78%"
"03.02.2025","1.285,0","1.310,0","1.310,0","1.265,0","0,29K","-1,91%"
"31.01.2025","1.310,0","1.290,0","1.310,0","1.290,0","0,32K","1,55%"
"30.01.2025","1.290,0","1.310,0","1.325,0","1.265,0","0,43K","-0,77%"
"29.01.2025","1.300,0","1.290,0","1.310,0","1.290,0","0,08K","0,78%"
"28.01.2025","1.290,0","1.270,0","1.290,0","1.265,0","0,07K","0,00%"
"27.01.2025","1.290,0","1.290,0","1.310,0","1.250,0","0,31K","-0,39%"
"24.01.2025","1.295,0","1.285,0","1.315,0","1.285,0","0,17K","-1,15%"
"23.01.2025","1.310,0","1.310,0","1.340,0","1.290,0","0,17K","0,77%"
"22.01.2025","1.300,0","1.325,0","1.380,0","1.265,0","0,66K","-1,89%"
"21.01.2025","1.325,0","1.350,0","1.375,0","1.295,0","0,55K","-1,85%"
"20.01.2025","1.350,0","1.305,0","1.475,0","1.295,0","0,51K","4,25%"
"17.01.2025","1.295,0","1.280,0","1.310,0","1.280,0","0,32K","0,00%"
"16.01.2025","1.295,0","1.270,0","1.310,0","1.255,0","0,53K","2,78%"
"15.01.2025","1.260,0","1.275,0","1.280,0","1.255,0","0,08K","-1,18%"
"14.01.2025","1.275,0","1.245,0","1.275,0","1.245,0","0,07K","2,00%"
"13.01.2025","1.250,0","1.265,0","1.290,0","1.235,0","0,32K","0,00%"
"10.01.2025","1.250,0","1.260,0","1.265,0","1.220,0","0,19K","1,63%"
"09.01.2025","1.230,0","1.260,0","1.270,0","1.225,0","0,54K","-1,99%"
"08.01.2025","1.255,0","1.195,0","1.265,0","1.190,0","0,33K","6,36%"
"06.01.2025","1.180,0","1.180,0","1.205,0","1.175,0","0,04K","0,00%"
"03.01.2025","1.180,0","1.200,0","1.220,0","1.170,0","0,24K","0,43%"
"30.12.2024","1.175,0","1.190,0","1.200,0","1.165,0","0,51K","-0,84%"
"28.12.2024","1.185,0","1.195,0","1.195,0","1.170,0","0,39K","-0,84%"
"27.12.2024","1.195,0","1.165,0","1.235,0","1.165,0","0,59K","3,02%"
"26.12.2024","1.160,0","1.180,0","1.180,0","1.155,0","0,08K","-0,85%"
"25.12.2024","1.170,0","1.165,0","1.175,0","1.145,0","0,23K","0,43%"
"24.12.2024","1.165,0","1.165,0","1.165,0","1.145,0","0,10K","0,00%"
"23.12.2024","1.165,0","1.105,0","1.175,0","1.100,0","0,33K","3,10%"
"20.12.2024","1.130,0","1.060,0","1.130,0","1.050,0","0,18K","7,11%"
"19.12.2024","1.055,0","1.040,0","1.085,0","1.035,0","0,11K","1,93%"
"18.12.2024","1.035,0","1.040,0","1.040,0","1.000,0","0,08K","-0,96%"
"17.12.2024","1.045,0","1.020,0","1.065,0","1.020,0","0,06K","0,00%"
"16.12.2024","1.045,0","1.040,0","1.065,0","1.000,0","0,18K","-1,42%"
"13.12.2024","1.060,0","1.070,0","1.070,0","1.030,0","0,13K","-0,93%"
"12.12.2024","1.070,0","1.085,0","1.085,0","1.065,0","0,04K","-0,93%"
"11.12.2024","1.080,0","1.055,0","1.090,0","1.055,0","0,20K","1,89%"
"10.12.2024","1.060,0","1.065,0","1.065,0","1.050,0","0,04K","-0,47%"
"09.12.2024","1.065,0","1.055,0","1.095,0","1.040,0","0,16K","2,40%"
"06.12.2024","1.040,0","1.050,0","1.060,0","1.020,0","0,10K","-0,48%"
"05.12.2024","1.045,0","1.050,0","1.075,0","1.025,0","0,03K","-0,48%"
"04.12.2024","1.050,0","1.075,0","1.075,0","1.050,0","0,02K","-3,67%"
"03.12.2024","1.090,0","1.100,0","1.105,0","1.050,0","0,06K","-0,91%"
"02.12.2024","1.100,0","1.030,0","1.140,0","1.020,0","0,15K","6,28%"
"29.11.2024","1.035,0","1.035,0","1.060,0","1.010,0","0,06K","0,00%"
"28.11.2024","1.035,0","1.025,0","1.040,0","1.005,0","0,05K","2,99%"
"27.11.2024","1.005,0","1.020,0","1.060,0","950,0","0,30K","-3,37%"
"26.11.2024","1.040,0","1.100,0","1.115,0","1.015,0","0,44K","-6,73%"
"25.11.2024","1.115,0","1.125,0","1.130,0","1.100,0","0,08K","0,00%"
"22.11.2024","1.115,0","1.145,0","1.145,0","1.110,0","0,09K","-1,33%"
"21.11.2024","1.130,0","1.145,0","1.155,0","1.115,0","0,71K","-3,00%"
"20.11.2024","1.165,0","1.165,0","1.170,0","1.135,0","0,32K","0,00%"
"19.11.2024","1.165,0","1.185,0","1.225,0","1.150,0","0,19K","-1,69%"
"18.11.2024","1.185,0","1.170,0","1.185,0","1.170,0","0,09K","0,00%"
"15.11.2024","1.185,0","1.185,0","1.185,0","1.165,0","0,08K","0,00%"
"14.11.2024","1.185,0","1.180,0","1.185,0","1.170,0","0,09K","-0,84%"
"13.11.2024","1.195,0","1.190,0","1.205,0","1.180,0","0,18K","1,27%"
"12.11.2024","1.180,0","1.215,0","1.215,0","1.155,0","0,29K","-2,48%"
"11.11.2024","1.210,0","1.185,0","1.210,0","1.180,0","0,08K","1,68%"
"08.11.2024","1.190,0","1.185,0","1.195,0","1.170,0","0,14K","0,42%"
"07.11.2024","1.185,0","1.165,0","1.185,0","1.160,0","0,06K","0,00%"
"06.11.2024","1.185,0","1.215,0","1.230,0","1.115,0","0,74K","-1,25%"
"05.11.2024","1.200,0","1.205,0","1.235,0","1.200,0","0,05K","-0,41%"
"02.11.2024","1.205,0","1.250,0","1.250,0","1.190,0","0,15K","0,00%"
"01.11.2024","1.205,0","1.190,0","1.220,0","1.190,0","0,06K","-1,23%"
"31.10.2024","1.220,0","1.235,0","1.245,0","1.180,0","0,16K","0,00%"
"30.10.2024","1.220,0","1.230,0","1.245,0","1.220,0","0,08K","0,00%"
"29.10.2024","1.220,0","1.230,0","1.230,0","1.210,0","0,50K","-0,81%"
"28.10.2024","1.230,0","1.270,0","1.285,0","1.230,0","0,38K","-2,77%"
"25.10.2024","1.265,0","1.285,0","1.285,0","1.260,0","0,16K","-1,94%"
"24.10.2024","1.290,0","1.285,0","1.295,0","1.285,0","0,01K","-0,77%"
"23.10.2024","1.300,0","1.295,0","1.300,0","1.290,0","0,06K","0,78%"
"22.10.2024","1.290,0","1.280,0","1.290,0","1.280,0","0,09K","0,78%"
"21.10.2024","1.280,0","1.290,0","1.290,0","1.280,0","0,11K","0,00%"
"18.10.2024","1.280,0","1.305,0","1.305,0","1.275,0","0,19K","-1,16%"
"17.10.2024","1.295,0","1.295,0","1.320,0","1.295,0","0,15K","0,00%"
"16.10.2024","1.295,0","1.280,0","1.315,0","1.280,0","0,18K","1,57%"
"15.10.2024","1.275,0","1.270,0","1.295,0","1.265,0","0,10K","-1,16%"
"14.10.2024","1.290,0","1.290,0","1.295,0","1.275,0","0,11K","0,00%"
"11.10.2024","1.290,0","1.305,0","1.305,0","1.280,0","0,07K","-1,15%"
"10.10.2024","1.305,0","1.300,0","1.310,0","1.280,0","0,11K","1,16%"
"09.10.2024","1.290,0","1.295,0","1.305,0","1.290,0","0,04K","-1,15%"
"08.10.2024","1.305,0","1.290,0","1.305,0","1.270,0","0,19K","0,00%"
"07.10.2024","1.305,0","1.285,0","1.305,0","1.230,0","0,40K","1,56%"
"04.10.2024","1.285,0","1.280,0","1.315,0","1.280,0","0,14K","-0,77%"
"03.10.2024","1.295,0","1.325,0","1.325,0","1.260,0","0,27K","-1,52%"
"02.10.2024","1.315,0","1.325,0","1.355,0","1.315,0","0,15K","0,00%"
"01.10.2024","1.315,0","1.360,0","1.360,0","1.295,0","0,23K","-3,31%"
"30.09.2024","1.360,0","1.355,0","1.385,0","1.345,0","0,09K","0,37%"
"27.09.2024","1.355,0","1.340,0","1.355,0","1.335,0","0,06K","1,12%"
"26.09.2024","1.340,0","1.355,0","1.360,0","1.330,0","0,28K","-0,74%"
"25.09.2024","1.350,0","1.340,0","1.365,0","1.330,0","0,32K","0,75%"
"24.09.2024","1.340,0","1.355,0","1.385,0","1.340,0","0,52K","-0,74%"
"23.09.2024","1.350,0","1.340,0","1.350,0","1.315,0","0,32K","2,27%"
"20.09.2024","1.320,0","1.315,0","1.335,0","1.315,0","0,15K","1,15%"
"19.09.2024","1.305,0","1.310,0","1.315,0","1.295,0","0,41K","-0,76%"
"18.09.2024","1.315,0","1.330,0","1.335,0","1.305,0","0,10K","-1,87%"
"17.09.2024","1.340,0","1.320,0","1.385,0","1.315,0","0,98K","1,90%"
"16.09.2024","1.315,0","1.295,0","1.330,0","1.275,0","0,43K","1,94%"
"13.09.2024","1.290,0","1.285,0","1.290,0","1.265,0","0,28K","0,39%"
"12.09.2024","1.285,0","1.305,0","1.305,0","1.270,0","0,08K","-1,53%"
"11.09.2024","1.305,0","1.305,0","1.320,0","1.300,0","0,09K","1,16%"
"10.09.2024","1.290,0","1.300,0","1.315,0","1.290,0","0,05K","-0,39%"
"09.09.2024","1.295,0","1.285,0","1.320,0","1.280,0","0,06K","1,57%"
"06.09.2024","1.275,0","1.280,0","1.290,0","1.275,0","0,02K","-0,39%"
"05.09.2024","1.280,0","1.280,0","1.305,0","1.265,0","0,26K","1,99%"
"04.09.2024","1.255,0","1.255,0","1.330,0","1.255,0","0,26K","0,00%"
"03.09.2024","1.255,0","1.245,0","1.305,0","1.225,0","0,57K","-0,79%"
"02.09.2024","1.265,0","1.290,0","1.330,0","1.250,0","0,40K","-2,69%"
"30.08.2024","1.300,0","1.300,0","1.320,0","1.285,0","0,25K","-1,52%"
"29.08.2024","1.320,0","1.315,0","1.335,0","1.310,0","0,29K","0,38%"
"28.08.2024","1.315,0","1.320,0","1.345,0","1.300,0","0,34K","0,00%"
"27.08.2024","1.315,0","1.315,0","1.340,0","1.315,0","0,12K","0,77%"
"26.08.2024","1.305,0","1.300,0","1.350,0","1.290,0","0,38K","0,00%"
"23.08.2024","1.305,0","1.310,0","1.385,0","1.280,0","1,02K","-1,14%"
"22.08.2024","1.320,0","1.340,0","1.345,0","1.285,0","1,02K","-0,38%"
"21.08.2024","1.325,0","1.325,0","1.360,0","1.315,0","0,47K","-0,38%"
"20.08.2024","1.330,0","1.335,0","1.365,0","1.315,0","0,64K","-1,48%"
"19.08.2024","1.350,0","1.405,0","1.410,0","1.320,0","0,82K","-3,91%"
"16.08.2024","1.405,0","1.465,0","1.510,0","1.365,0","1,71K","-4,10%"
"15.08.2024","1.465,0","1.495,0","1.560,0","1.465,0","1,04K","-2,01%"
"14.08.2024","1.495,0","1.620,0","1.645,0","1.495,0","4,77K","-11,54%"
"13.08.2024","1.690,0","1.405,0","1.690,0","1.385,0","8,46K","21,58%"
"12.08.2024","1.390,0","1.310,0","1.420,0","1.305,0","0,98K","7,34%"
"09.08.2024","1.295,0","1.290,0","1.305,0","1.290,0","0,04K","0,00%"
"08.08.2024","1.295,0","1.305,0","1.305,0","1.290,0","0,04K","-0,77%"
"07.08.2024","1.305,0","1.300,0","1.305,0","1.290,0","0,07K","0,38%"
"06.08.2024","1.300,0","1.315,0","1.315,0","1.280,0","0,13K","0,00%"
"05.08.2024","1.300,0","1.360,0","1.360,0","1.295,0","0,36K","-4,06%"
"02.08.2024","1.355,0","1.360,0","1.380,0","1.330,0","0,26K","0,00%"
"01.08.2024","1.355,0","1.350,0","1.360,0","1.350,0","0,02K","0,37%"
"31.07.2024","1.350,0","1.335,0","1.360,0","1.340,0","0,05K","1,89%"
"30.07.2024","1.325,0","1.320,0","1.330,0","1.315,0","0,02K","0,38%"
"29.07.2024","1.320,0","1.355,0","1.355,0","1.300,0","0,16K","-2,58%"
"26.07.2024","1.355,0","1.355,0","1.380,0","1.330,0","0,12K","-1,09%"
"25.07.2024","1.370,0","1.375,0","1.380,0","1.355,0","0,13K","0,00%"
"24.07.2024","1.370,0","1.385,0","1.395,0","1.370,0","0,16K","-0,72%"
"23.07.2024","1.380,0","1.360,0","1.410,0","1.350,0","0,45K","-0,36%"
"22.07.2024","1.385,0","1.345,0","1.400,0","1.350,0","0,62K","3,36%"
"19.07.2024","1.340,0","1.310,0","1.345,0","1.270,0","0,21K","2,29%"
"18.07.2024","1.310,0","1.305,0","1.315,0","1.280,0","0,17K","1,55%"
"17.07.2024","1.290,0","1.305,0","1.340,0","1.275,0","0,62K","-1,53%"
"16.07.2024","1.310,0","1.320,0","1.340,0","1.300,0","0,18K","-0,76%"
"15.07.2024","1.320,0","1.375,0","1.375,0","1.320,0","0,19K","-4,00%"
"12.07.2024","1.375,0","1.400,0","1.400,0","1.365,0","0,02K","-1,08%"
"11.07.2024","1.390,0","1.345,0","1.390,0","1.320,0","0,28K","4,91%"
"10.07.2024","1.325,0","1.370,0","1.380,0","1.315,0","0,33K","-5,02%"
"09.07.2024","1.395,0","1.425,0","1.435,0","1.355,0","0,32K","-2,45%"
"08.07.2024","1.430,0","1.440,0","1.440,0","1.430,0","0,02K","-0,35%"
"05.07.2024","1.435,0","1.435,0","1.435,0","1.430,0","0,01K","-0,35%"
"04.07.2024","1.440,0","1.445,0","1.490,0","1.440,0","0,19K","-0,35%"
"03.07.2024","1.445,0","1.465,0","1.465,0","1.445,0","0,04K","-1,03%"
