"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.04.2025","307,50","309,50","312,50","306,50","6,46K","0,00%"
"24.04.2025","307,50","309,00","313,00","306,00","6,13K","0,00%"
"23.04.2025","307,50","312,00","312,00","306,50","4,41K","-0,65%"
"22.04.2025","309,50","313,50","314,50","307,00","20,72K","0,49%"
"21.04.2025","308,00","316,50","318,00","306,50","9,17K","-0,32%"
"18.04.2025","309,00","315,00","319,00","309,00","8,52K","-1,44%"
"17.04.2025","313,50","315,00","320,00","313,00","5,20K","0,00%"
"16.04.2025","313,50","310,00","324,00","310,00","11,31K","1,13%"
"15.04.2025","310,00","310,50","315,00","309,00","2,46K","0,32%"
"14.04.2025","309,00","314,00","319,50","306,50","6,11K","-0,48%"
"11.04.2025","310,50","311,00","320,00","308,00","11,70K","1,31%"
"10.04.2025","306,50","308,50","317,00","304,50","12,79K","3,55%"
"09.04.2025","296,00","317,50","318,50","288,00","20,33K","-6,92%"
"08.04.2025","318,00","315,00","329,50","314,50","15,01K","1,76%"
"07.04.2025","312,50","323,00","325,00","300,00","23,18K","-6,02%"
"04.04.2025","332,50","342,50","348,00","327,00","9,73K","-2,35%"
"03.04.2025","340,50","344,50","361,50","340,50","33,62K","-0,15%"
"02.04.2025","341,00","339,50","346,50","334,50","8,34K","-0,15%"
"01.04.2025","341,50","347,00","359,00","338,00","32,92K","1,19%"
"31.03.2025","337,50","344,50","348,00","331,00","26,05K","-2,74%"
"28.03.2025","347,00","355,00","366,00","339,50","26,03K","-1,56%"
"27.03.2025","352,50","355,50","372,00","344,00","16,47K","-0,70%"
"26.03.2025","355,00","367,50","373,50","354,00","25,37K","-2,74%"
"25.03.2025","365,00","375,50","377,00","363,00","10,05K","-1,35%"
"24.03.2025","370,00","365,50","380,50","365,50","20,03K","0,41%"
"21.03.2025","368,50","383,50","386,50","365,00","32,57K","-2,90%"
"20.03.2025","379,50","403,00","414,00","376,00","117,65K","-5,83%"
"19.03.2025","403,00","347,00","414,50","345,00","429,19K","17,84%"
