"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.04.2025","13,88","13,84","14,10","13,84","910,70K","1,09%"
"24.04.2025","13,73","13,78","14,26","13,72","2,57M","0,00%"
"23.04.2025","13,73","13,90","13,90","13,51","752,80K","-1,08%"
"22.04.2025","13,88","14,14","14,39","13,56","1,72M","-0,14%"
"21.04.2025","13,90","13,77","14,10","13,52","1,52M","1,87%"
"18.04.2025","13,65","13,95","14,11","13,47","1,68M","-2,19%"
"17.04.2025","13,95","14,16","14,38","13,85","1,57M","-1,24%"
"16.04.2025","14,13","13,76","14,49","13,40","2,43M","3,63%"
"15.04.2025","13,63","13,30","14,35","13,21","6,63M","1,91%"
"14.04.2025","13,38","13,64","13,73","13,30","896,50K","-0,48%"
"11.04.2025","13,44","13,73","14,00","13,32","2,76M","0,11%"
"10.04.2025","13,43","13,78","13,93","13,25","2,85M","4,07%"
"09.04.2025","12,90","12,97","13,16","12,30","4,95M","-3,70%"
"08.04.2025","13,40","12,73","14,10","12,73","7,84M","8,37%"
"07.04.2025","12,36","12,01","12,80","11,52","4,60M","-4,56%"
"04.04.2025","12,95","14,01","14,13","12,80","4,84M","-5,75%"
"03.04.2025","13,74","14,84","15,19","13,63","5,13M","-5,37%"
"02.04.2025","14,52","14,69","15,25","14,26","1,44M","-1,59%"
"01.04.2025","14,76","14,98","15,89","14,61","4,31M","0,65%"
"31.03.2025","14,66","14,49","15,20","14,10","2,58M","-0,68%"
"28.03.2025","14,76","15,00","15,26","14,17","3,64M","-3,24%"
"27.03.2025","15,26","15,60","15,66","15,11","1,97M","-3,51%"
"26.03.2025","15,81","16,25","16,29","15,80","1,85M","-1,00%"
"25.03.2025","15,97","16,44","16,67","15,74","2,91M","-0,96%"
"24.03.2025","16,13","16,22","16,84","16,02","8,47M","0,69%"
"21.03.2025","16,01","16,22","16,24","15,82","1,45M","-0,77%"
"20.03.2025","16,14","16,48","16,50","15,92","1,66M","-0,80%"
"19.03.2025","16,27","16,40","16,52","16,01","3,24M","-1,66%"
"18.03.2025","16,55","16,77","17,00","16,40","4,10M","-1,34%"
"17.03.2025","16,77","16,50","17,08","16,11","10,12M","4,81%"
"14.03.2025","16,00","15,27","16,53","15,19","23,38M","6,17%"
"13.03.2025","15,07","15,75","15,82","14,92","7,93M","-5,67%"
"12.03.2025","15,98","16,40","16,55","15,66","11,51M","-3,71%"
"11.03.2025","16,59","16,72","17,49","16,44","35,57M","4,24%"
"10.03.2025","15,91","15,16","15,91","14,84","12,66M","9,76%"
"07.03.2025","14,50","15,30","15,30","14,42","2,46M","-2,68%"
"06.03.2025","14,90","15,20","15,44","14,73","2,28M","-1,65%"
"05.03.2025","15,15","15,30","15,68","14,94","5,48M","0,56%"
"04.03.2025","15,06","14,95","15,70","14,90","6,32M","3,15%"
"03.03.2025","14,60","15,39","15,78","14,17","5,06M","-3,72%"
"28.02.2025","15,17","15,40","15,80","14,87","3,44M","-2,94%"
"27.02.2025","15,63","15,00","16,52","14,88","22,63M","2,96%"
"26.02.2025","15,18","16,40","16,40","14,53","8,76M","-4,47%"
"25.02.2025","15,89","18,08","18,08","14,74","35,92M","-3,46%"
"24.02.2025","16,46","16,46","16,46","16,00","3,65M","9,73%"
"21.02.2025","15,00","14,35","15,00","14,16","15,33M","9,73%"
"20.02.2025","13,67","11,29","13,67","11,20","46,52M","21,84%"
"19.02.2025","11,22","11,20","11,35","11,10","1,13M","0,36%"
"18.02.2025","11,18","11,23","11,38","11,14","2,40M","-0,40%"
"17.02.2025","11,23","11,27","11,32","11,06","2,78M","2,05%"
"14.02.2025","11,00","11,28","11,40","10,92","2,40M","-2,14%"
"13.02.2025","11,24","11,59","11,89","11,10","2,32M","2,14%"
"12.02.2025","11,01","11,10","11,46","10,96","4,01M","0,46%"
"11.02.2025","10,95","10,95","11,07","10,89","594,90K","-0,54%"
"10.02.2025","11,02","11,15","11,18","10,96","798,60K","0,59%"
"07.02.2025","10,95","11,19","11,19","10,92","649,10K","-0,99%"
"06.02.2025","11,06","11,11","11,25","11,05","770,40K","0,55%"
"05.02.2025","11,00","11,13","11,15","10,85","1,11M","-1,17%"
"04.02.2025","11,13","11,07","11,48","11,07","1,35M","0,86%"
"03.02.2025","11,03","11,35","11,35","11,00","716,60K","-1,82%"
"31.01.2025","11,24","11,48","11,48","11,15","956,40K","-1,23%"
"30.01.2025","11,38","11,32","11,52","11,31","988,20K","0,62%"
"29.01.2025","11,31","11,48","11,51","11,22","1,10M","-0,09%"
"28.01.2025","11,32","11,30","11,36","11,06","842,90K","0,04%"
"27.01.2025","11,31","11,52","11,53","11,31","795,20K","-1,35%"
"24.01.2025","11,47","11,64","11,71","11,35","1,86M","-0,86%"
"23.01.2025","11,57","11,70","11,89","11,57","1,63M","-2,07%"
"22.01.2025","11,81","11,78","11,84","11,65","1,15M","0,47%"
"21.01.2025","11,76","11,54","11,87","11,52","2,37M","0,47%"
"20.01.2025","11,70","11,85","12,10","11,51","2,99M","2,41%"
"17.01.2025","11,43","11,49","11,80","11,31","3,01M","0,18%"
"16.01.2025","11,41","11,26","11,65","11,02","4,95M","3,59%"
"15.01.2025","11,02","11,06","11,27","10,95","895,70K","-0,59%"
"14.01.2025","11,08","11,15","11,18","10,59","2,32M","-0,63%"
"13.01.2025","11,15","11,22","11,40","10,94","2,26M","2,76%"
"10.01.2025","10,85","10,59","11,08","10,59","2,75M","0,93%"
"09.01.2025","10,75","11,02","11,33","9,97","5,22M","-2,49%"
"08.01.2025","11,02","10,76","11,52","10,68","7,07M","3,62%"
"06.01.2025","10,64","10,48","10,76","10,36","1,11M","1,19%"
"03.01.2025","10,52","10,99","11,00","10,38","2,04M","-1,82%"
"30.12.2024","10,71","10,43","10,90","10,36","2,20M","3,73%"
"28.12.2024","10,32","10,30","10,68","10,25","2,64M","1,18%"
"27.12.2024","10,20","10,26","10,38","10,19","997,00K","-1,11%"
"26.12.2024","10,32","10,36","10,56","10,23","2,04M","1,93%"
"25.12.2024","10,13","10,05","10,36","10,03","1,18M","0,35%"
"24.12.2024","10,09","10,24","10,40","9,98","999,00K","-0,84%"
"23.12.2024","10,18","10,39","10,65","9,81","4,95M","1,75%"
"20.12.2024","10,00","9,24","10,20","9,03","4,72M","9,17%"
"19.12.2024","9,16","9,29","9,68","9,10","2,84M","0,11%"
"18.12.2024","9,15","9,02","9,99","8,88","7,64M","2,18%"
"17.12.2024","8,95","8,99","9,35","8,89","1,69M","-1,59%"
"16.12.2024","9,10","9,65","9,65","8,99","2,17M","-5,45%"
"13.12.2024","9,63","9,70","10,23","9,52","2,73M","-1,18%"
"12.12.2024","9,74","10,05","10,26","9,60","1,70M","-2,70%"
"11.12.2024","10,01","10,19","10,26","9,70","912,30K","-0,05%"
"10.12.2024","10,02","10,15","10,21","10,01","798,80K","-1,62%"
"09.12.2024","10,18","10,33","10,69","10,09","1,44M","1,50%"
"06.12.2024","10,03","10,20","10,28","10,01","1,22M","-0,50%"
"05.12.2024","10,08","10,00","10,24","9,72","2,12M","0,30%"
"04.12.2024","10,05","10,22","10,70","10,00","2,12M","-2,33%"
"03.12.2024","10,29","11,05","11,06","10,03","4,90M","-5,42%"
"02.12.2024","10,88","10,97","11,28","10,70","2,90M","1,73%"
"29.11.2024","10,69","10,21","11,00","10,00","6,04M","5,27%"
