"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.04.2025","16,00","15,95","16,10","15,80","89,40K","0,31%"
"24.04.2025","15,95","15,75","16,25","15,70","251,50K","0,95%"
"23.04.2025","15,80","15,90","16,00","15,45","149,27K","-0,63%"
"22.04.2025","15,90","16,25","16,25","15,50","227,30K","-0,63%"
"21.04.2025","16,00","16,05","16,35","15,90","106,44K","0,31%"
"18.04.2025","15,95","16,15","16,15","15,90","34,97K","-0,93%"
"17.04.2025","16,10","16,00","16,25","15,80","74,37K","0,63%"
"16.04.2025","16,00","16,10","16,10","15,65","38,77K","-0,31%"
"15.04.2025","16,05","16,10","16,40","15,85","94,94K","-0,31%"
"14.04.2025","16,10","16,00","16,20","15,70","163,35K","0,94%"
"11.04.2025","15,95","15,60","16,45","15,60","290,76K","2,90%"
"10.04.2025","15,50","16,00","16,00","15,40","85,88K","1,31%"
"09.04.2025","15,30","16,20","16,50","15,00","255,26K","-5,56%"
"08.04.2025","16,20","16,00","16,45","15,70","155,29K","1,89%"
"07.04.2025","15,90","16,05","16,05","15,45","163,78K","-2,75%"
"04.04.2025","16,35","16,75","17,05","16,20","239,23K","-2,39%"
"03.04.2025","16,75","16,60","17,00","16,50","491,89K","0,90%"
"02.04.2025","16,60","17,00","17,65","16,55","403,40K","-2,06%"
"01.04.2025","16,95","16,65","17,10","16,50","383,11K","1,80%"
"31.03.2025","16,65","16,60","17,25","16,40","256,26K","0,30%"
"28.03.2025","16,60","16,75","16,85","16,05","329,31K","-1,78%"
"27.03.2025","16,90","17,30","17,30","16,70","285,48K","-2,59%"
"26.03.2025","17,35","17,60","17,60","17,30","70,04K","-0,86%"
"25.03.2025","17,50","17,50","17,55","17,40","59,02K","0,29%"
"24.03.2025","17,45","17,60","17,65","17,35","81,02K","-0,29%"
"21.03.2025","17,50","17,85","17,90","17,50","243,28K","-1,13%"
"20.03.2025","17,70","17,65","17,90","17,65","84,13K","0,28%"
"19.03.2025","17,65","17,70","17,90","17,60","163,13K","-0,56%"
"18.03.2025","17,75","17,85","18,05","17,60","127,14K","-0,28%"
"17.03.2025","17,80","18,10","18,15","17,50","476,70K","-0,84%"
"14.03.2025","17,95","17,80","17,95","17,70","94,47K","1,41%"
"13.03.2025","17,70","17,75","18,00","17,60","167,08K","0,00%"
"12.03.2025","17,70","17,85","17,95","17,50","260,82K","-0,56%"
"11.03.2025","17,80","18,20","18,20","17,60","261,58K","-0,56%"
"10.03.2025","17,90","18,20","18,25","17,90","177,16K","0,00%"
"07.03.2025","17,90","18,40","18,70","17,90","269,40K","-2,72%"
"06.03.2025","18,40","18,25","18,60","17,95","307,41K","0,82%"
"05.03.2025","18,25","18,25","18,55","17,90","237,67K","0,00%"
"04.03.2025","18,25","17,95","18,30","17,95","137,49K","1,67%"
"03.03.2025","17,95","18,05","18,20","17,80","192,78K","-0,55%"
"28.02.2025","18,05","18,00","18,20","17,70","210,17K","0,28%"
"27.02.2025","18,00","18,15","18,20","17,50","225,23K","-0,83%"
"26.02.2025","18,15","18,40","19,60","18,00","1,05M","-1,09%"
"25.02.2025","18,35","18,20","18,50","17,65","539,92K","1,94%"
"24.02.2025","18,00","18,10","18,15","17,90","161,41K","0,00%"
"21.02.2025","18,00","18,00","18,35","17,80","233,54K","0,56%"
"20.02.2025","17,90","18,05","18,20","17,25","425,12K","-1,10%"
"19.02.2025","18,10","17,95","18,20","17,75","259,69K","1,12%"
"18.02.2025","17,90","18,40","18,40","17,75","391,74K","-2,72%"
"17.02.2025","18,40","18,00","18,65","17,85","256,82K","3,08%"
"14.02.2025","17,85","18,10","18,45","17,75","352,86K","-1,38%"
"13.02.2025","18,10","17,95","18,25","17,85","346,65K","2,26%"
"12.02.2025","17,70","17,70","17,95","17,70","564,44K","0,28%"
"11.02.2025","17,65","17,60","17,90","17,40","150,62K","0,28%"
"10.02.2025","17,60","17,35","17,70","17,35","183,73K","1,73%"
"07.02.2025","17,30","17,30","17,75","17,20","258,84K","-1,70%"
"06.02.2025","17,60","17,50","18,00","17,50","344,18K","0,57%"
